Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Alex Verdugo,28,NYY,1308.2,0.997,7.0,7.0,3.3,1.0,-3.0,82.05,75.68,75.69,50.0,93.86,34.78
Teoscar Hernández,31,LAD,1308.0,0.989,-1.0,-3.0,-2.7,-9.0,-19.0,40.23,30.91,21.53,4.97,51.59,1.69
Nico Hoerner,27,CHC,1307.1,0.985,-4.0,3.0,-0.2,10.0,22.0,23.86,61.59,45.6,86.65,37.73,93.72
Ryan McMahon,29,COL,1306.2,0.966,11.0,10.0,3.6,7.0,12.0,88.86,83.86,77.55,77.75,8.18,79.71
Spencer Steer,26,CIN,1306.1,0.99,-1.0,-1.0,-1.9,-2.0,-0.0,40.23,40.45,28.94,30.1,56.14,45.17
JJ Bleday,26,OAK,1295.0,0.988,-1.0,-19.0,-14.1,-3.0,-6.0,40.23,0.45,0.46,24.87,47.27,23.19
Jake Cronenworth,30,SDP,1293.1,0.993,-1.0,-1.0,0.1,0.0,-3.0,40.23,40.45,47.92,42.93,72.05,34.78
Brendan Donovan,27,STL,1292.0,0.995,-3.0,0.0,1.4,5.0,0.0,27.95,46.59,62.27,70.68,81.36,45.17
Masyn Winn,22,STL,1285.1,0.971,11.0,14.0,0.3,3.0,23.0,88.86,94.55,50.46,61.26,13.41,95.41
Brice Turang,24,MIL,1277.2,0.989,13.0,22.0,9.6,6.0,5.0,93.41,99.09,94.91,74.87,51.59,63.04
Dansby Swanson,30,CHC,1273.1,0.99,1.0,7.0,3.8,17.0,15.0,52.27,75.68,79.17,98.43,56.14,86.47
Freddie Freeman,34,LAD,1270.1,0.996,-1.0,1.0,1.3,1.0,-0.0,40.23,52.5,60.88,50.0,88.64,45.17
Maikel Garcia,24,KCR,1270.0,0.965,-8.0,-1.0,0.7,2.0,15.0,10.23,40.45,54.17,56.54,7.5,86.47
Nolan Arenado,33,STL,1268.1,0.977,13.0,6.0,3.2,10.0,9.0,93.41,72.27,74.54,86.65,22.73,73.67
Jose Altuve,34,HOU,1262.0,0.989,2.0,-13.0,-1.2,-9.0,-11.0,58.86,3.18,35.42,4.97,51.59,12.32
Brandon Nimmo,31,NYM,1253.0,0.992,2.0,-3.0,5.5,1.0,-1.0,58.86,30.91,87.27,50.0,67.5,41.3
Jacob Young,24,WSN,1251.2,0.98,8.0,12.0,24.9,20.0,31.0,85.0,91.82,100.0,99.48,27.95,98.31
Carlos Santana,38,MIN,1250.0,0.996,10.0,8.0,5.3,14.0,17.0,87.73,78.64,86.57,94.5,88.64,88.16
Ian Happ,29,CHC,1248.1,0.997,19.0,8.0,7.2,-1.0,-0.0,99.77,78.64,89.35,36.39,93.86,45.17
Brenton Doyle,26,COL,1242.2,0.991,17.0,11.0,21.0,14.0,25.0,98.86,88.86,99.07,94.5,61.82,97.58
Taylor Ward,30,LAA,1241.0,0.984,2.0,0.0,-2.9,4.0,2.0,58.86,46.59,20.83,65.45,35.68,55.31
Alex Bregman,30,HOU,1234.2,0.972,12.0,6.0,7.9,8.0,11.0,90.91,72.27,89.81,80.89,15.0,77.78
